Celltype,Celltype_Str,Cytokine,Cytokine_Str,Gene,Avg_log2FC,FDR,Pct_Cytokine,Pct_PBS,__sheet__
B cell,B_cell,IL-1α,IL1a,Zfp36l2,1.09092999895634,8.00795130033793e-20,0.509,0.217,B_cell
B cell,B_cell,IL-1α,IL1a,Arap2,0.891993631282316,7.89644707143292e-10,0.314,0.11,B_cell
B cell,B_cell,IL-1α,IL1a,Socs3,0.843500162505324,5.32029455084295e-10,0.16,0.023,B_cell
B cell,B_cell,IL-1α,IL1a,Napsa,0.808775593987397,1.24491648042881e-14,0.794,0.585,B_cell
B cell,B_cell,IL-1α,IL1a,Gpr171,0.791013037121244,1.74313510074885e-09,0.331,0.124,B_cell
B cell,B_cell,IL-1α,IL1a,Ccnd2,0.699462699147377,0.0209745136321222,0.222,0.118,B_cell
B cell,B_cell,IL-1α,IL1a,Ptpn1,0.686511388968371,2.8727373192242e-06,0.412,0.23,B_cell
B cell,B_cell,IL-1α,IL1a,Ly6a,0.673258602044552,1.25600752260213e-05,0.572,0.359,B_cell
B cell,B_cell,IL-1α,IL1a,Pdcd4,0.672801908496927,0.000113007447922072,0.336,0.187,B_cell
B cell,B_cell,IL-1α,IL1a,Sorl1,0.626455407832377,1.59362224681868e-06,0.501,0.277,B_cell
B cell,B_cell,IL-1α,IL1a,Ptpn22,0.616331490042215,4.80433152899265e-06,0.184,0.053,B_cell
B cell,B_cell,IL-1α,IL1a,Ccnd3,0.609416851506894,1.59362224681868e-06,0.306,0.147,B_cell
B cell,B_cell,IL-1α,IL1a,Sesn1,0.597453187445304,3.10595300510324e-08,0.233,0.078,B_cell
B cell,B_cell,IL-1α,IL1a,Tsc22d3,0.562025335961089,1.9806986691307e-08,0.566,0.38,B_cell
B cell,B_cell,IL-1α,IL1a,Ssh2,0.525973046730618,0.00429290693524543,0.295,0.16,B_cell
B cell,B_cell,IL-1α,IL1a,Egln2,0.521793665375947,0.000127219099150741,0.238,0.118,B_cell
B cell,B_cell,IL-1α,IL1a,Ifi47,0.498796577044982,0.000103964818482669,0.233,0.1,B_cell
B cell,B_cell,IL-1α,IL1a,Cd83,0.490730384637731,0.0470192854289399,0.417,0.271,B_cell
B cell,B_cell,IL-1α,IL1a,Ncl,0.479209870470584,0.0317447549060513,0.585,0.473,B_cell
B cell,B_cell,IL-1α,IL1a,Stat1,0.467633415530426,0.00640011592566557,0.352,0.215,B_cell
B cell,B_cell,IL-1α,IL1a,Foxn3,0.463906495206753,0.0394402135233214,0.469,0.324,B_cell
B cell,B_cell,IL-1α,IL1a,Bcl3,0.451151594695737,0.000727059851113422,0.154,0.054,B_cell
B cell,B_cell,IL-1α,IL1a,Syngr2,0.45094549612325,0.0111717547282511,0.29,0.163,B_cell
